Trial,Word,Color,Correct_Key,Response,RT,Correct,Timestamp,ITI
1,green,red,left,None,1.5,0,2025-02-25_09:43:15:131291,1.595
2,red,red,left,left,0.46367920003831387,1,2025-02-25_09:43:16:749273,1.403
3,blue,blue,right,right,0.6254958000499755,1,2025-02-25_09:43:18:167019,1.271
4,green,blue,right,right,0.45987000002060086,1,2025-02-25_09:43:19:444766,1.623
5,red,red,left,left,0.5142379000317305,1,2025-02-25_09:43:21:085499,1.1179999999999999
6,green,red,left,left,0.49358659994322807,1,2025-02-25_09:43:22:212050,1.3820000000000001
7,red,blue,right,right,0.6272306999890134,1,2025-02-25_09:43:23:604431,1.349
8,blue,red,left,left,0.48146050004288554,1,2025-02-25_09:43:24:962838,1.443
9,green,blue,right,right,0.5734333998989314,1,2025-02-25_09:43:26:422204,1.3780000000000001
10,red,red,left,left,0.474808800034225,1,2025-02-25_09:43:27:811756,1.266
11,green,red,left,left,0.4344740000087768,1,2025-02-25_09:43:29:089900,1.309
12,red,blue,right,down,0.6460534000070766,0,2025-02-25_09:43:30:405331,1.065
13,blue,red,left,left,0.4395396000472829,1,2025-02-25_09:43:31:485141,1.6179999999999999
14,red,blue,right,right,0.7934162999736145,1,2025-02-25_09:43:33:110755,1.091
15,green,green,down,down,0.5654426000546664,1,2025-02-25_09:43:34:214542,1.415
16,green,green,down,down,0.4601115999976173,1,2025-02-25_09:43:35:641113,1.729
17,blue,red,left,left,0.41927159996703267,1,2025-02-25_09:43:37:377167,1.714
18,green,green,down,down,0.5309112999821082,1,2025-02-25_09:43:39:103725,1.65
19,green,blue,right,right,0.44632550003007054,1,2025-02-25_09:43:40:768612,1.7069999999999999
20,green,blue,right,right,0.4046129999915138,1,2025-02-25_09:43:42:487216,1.345
21,blue,green,down,down,0.9387717000208795,1,2025-02-25_09:43:43:840675,1.388
22,blue,red,left,left,0.45691559999249876,1,2025-02-25_09:43:45:238338,1.1
23,red,blue,right,down,0.652042799978517,0,2025-02-25_09:43:46:351591,1.31
24,green,blue,right,right,0.9486535999458283,1,2025-02-25_09:43:47:679835,1.5779999999999998
25,blue,blue,right,right,0.4201518000336364,1,2025-02-25_09:43:49:271575,1.292
26,blue,red,left,left,0.5181444999761879,1,2025-02-25_09:43:50:580795,1.601
27,green,red,left,left,0.39945030002854764,1,2025-02-25_09:43:52:189892,1.454
28,blue,red,left,left,0.4019832999911159,1,2025-02-25_09:43:53:656068,1.443
29,red,green,down,down,0.6562816000077873,1,2025-02-25_09:43:55:117406,1.107
30,red,green,down,down,0.47804039996117353,1,2025-02-25_09:43:56:236693,1.227
31,blue,red,left,left,0.4679063999792561,1,2025-02-25_09:43:57:473650,1.41
32,blue,green,down,down,0.6716650000307709,1,2025-02-25_09:43:58:894428,1.583
